patient,model,auc,auc_pr,threshold,sens_window,fpr_h_window,sens_alarm,fpr_h_alarm
chb01,SVM,0.8243,0.9359,0.05,0.5340909090909091,25.714285714285715,0.0114,0.0
chb02,SVM,0.4107,0.6649,0.05,0.8068181818181818,308.57142857142856,0.0114,0.0
chb03,SVM,0.2511,0.3678,0.24,0.22556390977443608,158.4,0.0075,0.0
chb04,SVM,0.3084,0.0337,0.3999999999999999,0.11363636363636363,24.341637010676155,0.0,0.6406
chb05,SVM,0.8472,0.9635,0.05,0.6842105263157895,90.0,0.0075,0.0
chb06,SVM,0.3382,0.0635,0.5099999999999999,0.864951768488746,281.832444304989,0.0,0.9037
chb07,SVM,0.7986,0.9532,0.05,0.24060150375939848,12.857142857142858,0.0075,0.0
chb08,SVM,0.4898,0.7416,0.05,0.25225225225225223,73.73493975903614,0.009,0.0
chb09,SVM,0.3128,0.2465,0.05,0.0903954802259887,7.336956521739131,0.0056,0.9783
chb10,SVM,0.7636,0.4277,0.09999999999999999,0.849624060150376,178.1818181818182,0.0075,0.9917
chb13,SVM,0.6961,0.436,0.62,0.706766917293233,161.81184668989545,0.0,0.0
chb14,SVM,0.3351,0.3305,0.8099999999999999,0.9870689655172413,354.578313253012,0.0,0.0
chb15,SVM,0.8818,0.4135,0.21999999999999997,0.875,97.29729729729729,0.0104,0.6486
chb16,SVM,0.6674,0.5146,0.31999999999999995,0.5192307692307693,44.42553191489362,0.0192,0.0
chb17,SVM,0.5373,0.8026,0.05,0.7443609022556391,218.57142857142856,0.0075,0.0
chb18,SVM,0.7507,0.5327,0.13,0.943502824858757,195.5056179775281,0.0113,0.0
chb19,SVM,0.7727,0.9168,0.05,0.8636363636363636,167.14285714285714,0.0114,0.0
chb20,SVM,0.4235,0.3285,0.3499999999999999,0.7454545454545455,249.39759036144576,0.0091,0.0
chb22,SVM,0.2574,0.2137,0.7799999999999999,0.9204545454545454,298.18181818181813,0.0,0.0
chb23,SVM,0.6754,0.5576,0.30999999999999994,0.5384615384615384,124.58015267175574,0.011,0.916
chb24,SVM,0.3532,0.5321,0.08,0.0,0.0,0.0,0.0
