patient_id,auc,auc_pr,sensitivity,specificity,precision,f1,balanced_accuracy,fpr_per_hour,threshold,alarm_K,alarm_M,refractory_windows,n_preictal,n_interictal,model
chb01,0.8064,0.5416,0.0068,0.9981,0.5,0.0133,0.5024,0.6943,0.29,5,12,180,296,1037,SVM
chb02,0.4896,0.483,0.0,1.0,0.0,0.0,0.5,0.0,0.49999999999999994,5,12,180,296,339,SVM
chb03,0.4638,0.3124,0.0023,0.9978,0.3333,0.0045,0.5,0.8009,0.38999999999999996,5,12,180,444,899,SVM
chb04,0.4027,0.1571,0.0068,0.9973,0.3333,0.0132,0.502,0.973,0.24,5,12,180,296,1480,SVM
chb05,0.5702,0.5235,0.0068,0.9983,0.75,0.0134,0.5025,0.6186,0.26999999999999996,5,12,180,444,582,SVM
chb06,0.6518,0.2403,0.0039,0.9974,0.2353,0.0076,0.5006,0.936,0.30999999999999994,5,12,180,1037,5000,SVM
chb07,0.6422,0.2458,0.0022,0.9978,0.1667,0.0044,0.5,0.809,0.43999999999999995,5,12,180,445,2225,SVM
chb08,0.754,0.8034,0.0067,0.9981,0.8333,0.0134,0.5024,0.6729,0.4799999999999999,5,12,180,741,535,SVM
chb09,0.6452,0.3098,0.0051,0.9973,0.3333,0.01,0.5012,0.9682,0.35999999999999993,5,12,180,592,2231,SVM
chb10,0.7625,0.54,0.0045,0.9974,0.3333,0.0089,0.5009,0.9406,0.4499999999999999,5,12,180,888,3062,SVM
chb13,0.7376,0.5162,0.0068,0.9979,0.6,0.0134,0.5023,0.7603,0.58,5,12,180,444,947,SVM
chb14,0.6395,0.6426,0.0065,0.9985,0.8333,0.0128,0.5025,0.524,0.26999999999999996,5,12,180,774,687,SVM
chb15,0.5796,0.2466,0.0031,0.9981,0.25,0.0062,0.5006,0.675,0.42999999999999994,5,12,180,320,1600,SVM
chb16,0.3335,0.3265,0.0029,0.998,0.5,0.0057,0.5004,0.7302,0.5299999999999999,5,12,180,347,493,SVM
chb17,0.5481,0.5341,0.0023,0.9974,0.5,0.0045,0.4998,0.9375,0.4799999999999999,5,12,180,444,384,SVM
chb18,0.639,0.5663,0.0051,0.9986,0.75,0.0101,0.5018,0.515,0.33999999999999997,5,12,180,592,699,SVM
chb19,0.4864,0.3454,0.0,0.9979,0.0,0.0,0.4989,0.7579,0.3,5,12,180,296,475,SVM
chb20,0.6625,0.6559,0.0054,1.0,1.0,0.0108,0.5027,0.0,0.5499999999999999,5,12,180,369,536,SVM
chb22,0.4172,0.3055,0.0,0.9981,0.0,0.0,0.499,0.7018,0.4599999999999999,5,12,180,296,513,SVM
chb23,0.391,0.2454,0.0,0.9978,0.0,0.0,0.4989,0.7815,0.49999999999999994,5,12,180,608,1382,SVM
chb24,0.6626,0.4385,0.0021,0.9976,0.3333,0.0042,0.4999,0.8551,0.5099999999999999,5,12,180,939,1684,SVM
