patient,model,auc,auc_pr,threshold,sens_window,fpr_h_window,sens_alarm,fpr_h_alarm
chb01,LR,0.8575,0.9511,0.05,0.5340909090909091,38.57142857142857,0.0114,0.0
chb02,LR,0.817,0.9438,0.05,0.36363636363636365,38.57142857142857,0.0114,0.0
chb03,LR,0.4866,0.485,0.19999999999999996,0.16541353383458646,32.4,0.0075,0.0
chb04,LR,0.3507,0.036,0.8099999999999999,0.3181818181818182,67.25978647686833,0.0,0.8541
chb05,LR,0.5604,0.8944,0.05,0.3007518796992481,64.28571428571428,0.0075,0.0
chb06,LR,0.3581,0.0635,0.83,0.022508038585209004,23.721368057734548,0.0,0.9037
chb07,LR,0.7213,0.9348,0.05,0.20300751879699247,12.857142857142858,0.0075,0.0
chb08,LR,0.6296,0.802,0.05,0.6711711711711712,186.50602409638554,0.009,0.0
chb09,LR,0.387,0.262,0.42999999999999994,0.1864406779661017,32.77173913043479,0.0113,0.9783
chb10,LR,0.8174,0.3848,0.29,0.8233082706766918,130.9090909090909,0.0075,0.9917
chb13,LR,0.3361,0.241,0.8499999999999999,0.06766917293233082,36.37630662020906,0.0,0.0
chb14,LR,0.2809,0.2927,0.95,0.5775862068965517,278.6746987951807,0.0,0.0
chb15,LR,0.8084,0.3372,0.32999999999999996,0.6666666666666666,112.86486486486486,0.0104,0.6486
chb16,LR,0.6009,0.5715,0.31999999999999995,0.4230769230769231,59.744680851063826,0.0096,0.0
chb17,LR,0.3281,0.7501,0.05,0.8421052631578947,334.2857142857143,0.0075,0.0
chb18,LR,0.8098,0.6123,0.05,0.4858757062146893,57.977528089887635,0.0113,0.0
chb19,LR,0.7756,0.9145,0.05,0.6931818181818182,128.57142857142856,0.0114,0.0
chb20,LR,0.4154,0.3259,0.61,0.6272727272727273,236.38554216867468,0.0091,0.0
chb22,LR,0.2216,0.2004,0.95,0.18181818181818182,145.45454545454544,0.0,1.8182
chb23,LR,0.68,0.5209,0.8699999999999999,0.47802197802197804,109.92366412213741,0.0055,0.0
chb24,LR,0.6198,0.808,0.05,0.2775800711743772,18.58064516129032,0.0036,0.0
